public,air-hg-g5-a,K106-00435,public,Radio 2,00:03:52:5c:27:41
public,air-adm-a6-a,B015-02279,public,Radio 2,00:03:52:2b:4f:21
public,air-ags-f2-a,B009-00001,public,Radio 2,00:03:52:29:53:21
public,air-bef-e1-a,B006-00891,public,Radio 2,00:03:52:29:4a:91
public,air-bef-f9-a,B006-00567,public,Radio 2,00:03:52:29:8e:a1
public,air-bef-g9-a,B015-01331,public,Radio 2,00:03:52:2b:81:01
public,air-cab-d42-2-a,R054-00002,public,Radio 2,00:03:52:1c:07:d1
public,air-cab-d43-a,R062-00259,public,Radio 2,00:03:52:1c:32:d1
public,air-cab-d53-1-a,R062-00044,public,Radio 2,00:03:52:1c:17:41
public,air-cab-d56-a,R062-00252,public,Radio 2,00:03:52:1c:32:31
public,air-cab-e10-4-a,SG934ZV04Y,public,Radio 2,00:0f:61:1a:0c:51
public,air-cab-e11-a,R062-00287,public,Radio 2,00:03:52:1c:14:b1
public,air-cab-e12-a,R062-00310,public,Radio 2,00:03:52:1c:14:d1
public,air-cab-e16-a,R062-00171,public,Radio 2,00:03:52:1c:34:51
public,air-cab-e22-2-a,SG935ZV067,public,Radio 2,00:0f:61:1a:20:81
public,air-cab-e27-1-a,SG034ZVW3H,public,Radio 2,00:0f:61:5d:dd:51
public,air-cab-e32-a,SG930ZV0CR,public,Radio 2,00:0f:61:1a:18:41
public,air-cab-e45-a,B006-00719,public,Radio 2,00:03:52:29:ae:41
public,air-cab-e48-a,R062-00250,public,Radio 2,00:03:52:1c:32:21
public,air-cab-e71-a,B015-05133,public,Radio 2,00:03:52:2b:ca:51
public,air-cab-e77-a,B015-05167,public,Radio 2,00:03:52:2c:01:01
public,air-cab-e81-a,SG002ZVXRL,public,Radio 2,00:0f:61:53:1d:51
public,air-cab-f21-a,SG935ZV09R,public,Radio 2,00:0f:61:1a:12:81
public,air-cab-f42-1-a,R062-00308,public,Radio 2,00:03:52:1c:11:b1
public,air-cab-f52-a,R062-00273,public,Radio 2,00:03:52:1c:31:51
public,air-cab-f57-a,R062-00205,public,Radio 2,00:03:52:1b:f5:01
public,air-cab-f63-1-a,R062-00163,public,Radio 2,00:03:52:1c:32:91
public,air-cab-f64-1-a,R062-00279,public,Radio 2,00:03:52:1c:31:f1
public,air-cab-f65-a,R054-00469,public,Radio 2,00:03:52:1c:24:41
public,air-cab-f66-a,R054-00362,public,Radio 2,00:03:52:1c:44:61
public,air-cab-f69-a,R062-00238,public,Radio 2,00:03:52:1c:13:81
public,air-cab-f70-a,R062-00054,public,Radio 2,00:03:52:1c:18:41
public,air-cab-f78-a,SG935ZV038,public,Radio 2,00:0f:61:1a:1d:31
public,air-cab-f84-a,R062-00164,public,Radio 2,00:03:52:1c:08:c1
public,air-cab-g10-a,R062-00194,public,Radio 2,00:03:52:1c:11:81
public,air-cab-g11-a,R062-00002,public,Radio 2,00:03:52:1b:f6:51
public,air-cab-g11-b,R062-00207,public,Radio 2,00:03:52:1b:f4:f1
public,air-cab-g20-1-a,R062-00200,public,Radio 2,00:03:52:1c:31:c1
public,air-cab-g20-a,R062-00245,public,Radio 2,00:03:52:1c:33:21
public,air-cab-g20-b,R062-00197,public,Radio 2,00:03:52:1c:12:31
public,air-cab-g51-a,R062-00185,public,Radio 2,00:03:52:1c:15:41
public,air-cab-g52-a,R049-00207,public,Radio 2,00:03:52:1c:85:a1
public,air-cab-g56-a,R062-00298,public,Radio 2,00:03:52:1c:11:61
public,air-cab-g59-a,R062-00254,public,Radio 2,00:03:52:1c:32:81
public,air-cab-g61-a,R062-00050,public,Radio 2,00:03:52:1c:17:81
public,air-cab-g61-b,R062-00188,public,Radio 2,00:03:52:1c:11:91
public,air-cab-g70-5-a,R062-00053,public,Radio 2,00:03:52:1c:18:31
public,air-cab-g70-a,R062-00229,public,Radio 2,00:03:52:1b:f5:31
public,air-cab-h10-a,R062-00315,public,Radio 2,00:03:52:1c:11:e1
public,air-cab-h20-1-a,R062-00281,public,Radio 2,00:03:52:1c:31:91
public,air-cab-h20-a,R062-00170,public,Radio 2,00:03:52:1c:33:f1
public,air-cab-h20-b,R062-00260,public,Radio 2,00:03:52:1c:13:31
public,air-cab-h41-a,R062-00051,public,Radio 2,00:03:52:1c:18:e1
public,air-cab-h41-b,R062-00302,public,Radio 2,00:03:52:1c:08:d1
public,air-cab-h52-a,R054-00485,public,Radio 2,00:03:52:1c:23:f1
public,air-cab-h56-a,R054-00302,public,Radio 2,00:03:52:1c:23:c1
public,air-cab-h70-5-a,B006-00630,public,Radio 2,00:03:52:29:80:c1
public,air-cab-h70-a,B006-00636,public,Radio 2,00:03:52:29:cf:41
public,air-cab-j21-a,B006-00696,public,Radio 2,00:03:52:29:ce:71
public,air-cab-j71-a,B006-00535,public,Radio 2,00:03:52:29:8f:61
public,air-chn-c14-a,R062-00057,public,Radio 2,00:03:52:1c:18:81
public,air-chn-c14-b,R062-00211,public,Radio 2,00:03:52:1c:12:71
public,air-chn-d33-a,CN14D330TD,public,Radio 2,98:4b:e1:1d:ed:50
public,air-chn-d42-a,R054-00170,public,Radio 2,00:03:52:1c:08:81
public,air-chn-d46-a,R062-00187,public,Radio 2,00:03:52:1c:34:61
public,air-chn-d9-a,R062-00216,public,Radio 2,00:03:52:1c:13:d1
public,air-chn-e10-a,R062-00209,public,Radio 2,00:03:52:1c:12:41
public,air-chn-e42-a,R062-00013,public,Radio 2,00:03:52:1c:18:91
public,air-chn-e43-a,R054-00393,public,Radio 2,00:03:52:1a:33:71
public,air-chn-e46-a,R062-00221,public,Radio 2,00:03:52:1c:35:21
public,air-chn-f27-a,CN14D330BJ,public,Radio 2,98:4b:e1:1d:d9:d0
public,air-chn-f33-a,CN14D3300D,public,Radio 2,98:4b:e1:1d:eb:70
public,air-chn-f42-a,SG934ZV011,public,Radio 2,00:0f:61:1a:1f:91
public,air-chn-f43-a,CN17D3308W,public,Radio 2,98:4b:e1:2b:28:50
public,air-chn-f46-a,R062-00159,public,Radio 2,00:03:52:1c:12:f1
public,air-chn-g22-a,B009-00028,public,Radio 2,00:03:52:29:5e:81
public,air-chn-g28-1-a,B006-00881,public,Radio 2,00:03:52:29:4f:a1
public,air-chn-g42-a,R062-00318,public,Radio 2,00:03:52:1c:11:d1
public,air-chn-g43-a,CN17D3308B,public,Radio 2,98:4b:e1:2b:a9:30
public,air-chn-g46-a,R049-00009,public,Radio 2,00:03:52:1c:77:11
public,air-chn-g53-1-a,SG0399L160,public,Radio 2,00:24:a8:aa:8d:51
public,air-chn-h43-a,CN14D330TC,public,Radio 2,98:4b:e1:1d:ed:30
public,air-chn-j43-a,CN14D330TB,public,Radio 2,98:4b:e1:1d:ed:10
public,air-chn-j76-1-a,B006-00865,public,Radio 2,00:03:52:29:4f:51
